序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,資工所,111C53494,廛蒳蜍,w7ZHs4tyQo,2,5,7,3,8,7,10,4,8,2
2,電資資安,112C53294,眸锷寎,gmAje0DujW,5,6,3,10,5,4,1,9,4,7
3,資工所,111598043,箭獄砳,fcDJJwbg0O,6,6,6,7,1,2,8,8,10,5
4,資工系,111C52596,繒伏饟,1MWzwmD0KJ,9,2,1,7,3,1,1,10,3,2
5,資工所,111C71093,樆橉朢,tSGeTE1PVN,6,4,4,1,1,5,7,2,2,5
6,電資資安,111C53412,姠嬬躲,VvKbrQO0ag,2,2,3,3,4,10,10,5,9,5
7,電資資安,111C71390,锤屐畑,yuVz1ZlnMH,4,4,6,4,3,9,5,6,6,3
8,資工系,111C71481,庈銛掑,PtdGHOUwI4,7,3,9,2,2,10,6,9,7,8
9,資工所,111C71402,苽備隈,W5ZQphUcpw,6,10,5,5,8,1,2,2,1,10
10,電資AI,111598226,嬬鸲絷,Dgr2aMuQ7f,10,4,2,8,7,10,6,3,9,8
11,電資資安,111C71974,碚骖沞,131ll1hpdT,2,4,6,4,1,4,4,1,5,9
12,資工所,112590639,墑飑蓾,ITysNYhEwI,3,2,4,2,2,4,6,8,4,6
13,電資資安,111C53030,泣砞鮬,QthdVZcXR5,8,4,6,1,6,10,5,1,2,9
14,資工系,112598568,帟誯仯,u2Y0QA5BQ8,9,2,7,1,3,1,8,5,4,4
15,資工系,111598153,摐阚巍,mzBNzVnO00,4,3,9,9,1,8,4,5,9,9
16,資工系,111598509,曺蛘繃,LD94aVJLXX,10,6,5,5,6,8,5,1,1,2
17,電資AI,112C71451,恥庛蘢,lYFkyshtfF,10,5,6,7,4,7,7,6,8,2
18,資工系,111598236,賌婍卙,GZKRlph4Ee,1,8,4,6,1,8,6,1,1,7
19,電資AI,111C53581,晓榉遢,ONTZKnjbgS,2,5,9,5,8,2,1,1,10,3
20,電資AI,111C53371,荅嗨蕺,MPEuwYYgFg,2,6,8,4,2,9,6,8,7,9
21,電資AI,112598901,伴瘐針,ihb6t7biRd,4,2,3,7,9,2,1,2,7,3
22,電資資安,111C53352,钩揧樚,VJ6XdM9h1z,5,6,4,4,10,8,8,10,9,7
23,電資AI,111598268,汘伵婡,PwTqD2FWMj,7,1,5,7,8,9,8,7,3,7
24,電資AI,112C53739,檤峮賘,wU2TB3skJR,9,9,2,6,7,7,10,1,2,8
25,電資資安,111598766,壜覝鉊,hrGcpEJgxE,1,6,9,10,8,5,5,2,10,10
26,電資資安,111C71009,卌戋苰,uwqHgF2HjE,1,5,1,9,2,1,3,2,7,7
27,電資資安,112598337,褔仧垃,n9lxZgObW4,7,9,3,3,4,3,10,8,1,9
28,創新AI,111590277,芪螸暮,s1wMxjkG6v,9,9,8,2,7,6,6,9,2,6
29,電資資安,111590029,窜竦揋,xBczxLV23Y,3,9,8,6,7,5,8,6,4,9
30,電資資安,112590236,鍠儲曾,dtBOGywXCN,10,4,9,4,4,2,10,8,6,8
31,電資資安,111C52147,梧樭灥,HrvL5CeK6z,5,9,4,2,2,8,10,1,2,7
32,資工所,112C53484,綴蛥鬪,9zycQ84ro4,10,4,5,9,7,3,4,5,7,8
33,創新AI,111590188,祉格氀,RCqYskCyzT,6,10,8,2,7,7,8,10,7,3
34,資工所,112590350,壇癠怣,jFIqWInyFt,8,5,4,8,1,8,4,4,2,7
35,資工所,112590933,獃槸息,bUgQKWw5tF,6,2,3,1,2,10,2,10,5,6
36,創新AI,112C53765,吆畛奫,sljZZcn1IS,6,2,7,3,2,2,5,9,1,3
37,資工所,111590140,煓鑹琢,DZA3Jq9xOd,10,3,8,1,9,1,10,1,2,8
38,電資AI,111598556,肑蠶蹸,s9GoXAerfd,1,1,9,8,5,8,10,7,10,7
39,資工所,112C71180,洦冼鄇,Bill3DSxdM,4,2,5,10,9,9,4,7,1,10
40,資工系,112C53852,佷賨鍪,czeW4UYo8a,4,10,2,7,9,1,7,9,2,3
41,資工系,111590608,燕磦亵,dLuMK5060D,2,2,4,4,8,5,4,6,2,1
42,資工所,112C71895,褁喽駭,DvhozEDUUB,2,6,2,10,4,2,8,2,4,5
43,電資資安,111C71178,洋傴鬠,AJAcaVwnPh,7,9,3,2,1,8,2,9,4,2
44,資工所,112C52503,鋒浡媁,K3GmBYAk1V,7,4,1,9,1,6,10,7,6,8
45,電資資安,112C71360,俫彥墺,mnc0EVVqbR,6,6,1,3,8,7,2,9,2,8
46,資工系,111598025,簠蕮帖,5HfaNaRLQx,2,3,9,4,7,1,8,1,7,2
47,資工所,111598078,羶逐擃,xoed5h5gO2,1,5,2,4,1,2,4,9,1,7
48,資工所,111C71361,騚推樵,FtpIzqgzt3,5,7,10,1,8,3,1,7,6,3
49,電資AI,112590960,灲蟥鄹,Zzl3pkkqUa,1,4,9,3,4,2,6,7,7,4
50,電資資安,111C52121,剧陂瀬,uThclN7VEZ,7,4,10,3,4,3,5,6,6,4
51,創新AI,112C53163,蹞瀣嬠,XCNW7uofmp,7,6,9,10,10,4,9,6,7,6
52,創新AI,111C53150,嚜壊圈,9JA1teB0YV,8,3,3,6,5,6,6,2,3,8
53,資工所,112C52789,曼塵懦,IQ4k2lDj3A,7,7,5,1,2,10,4,5,8,7
54,創新AI,112C53678,象煝抇,adaD3GhRKm,10,5,4,10,9,10,1,2,7,3
55,資工所,112C53049,褦梙瀷,ykUcLldoot,10,6,2,2,8,4,8,9,4,9
56,電資AI,112C71657,鲥賂鴓,K56mzMatvt,6,2,3,9,9,3,5,9,1,10
57,電資資安,111C53404,纟灇駱,stqoqmxK4p,2,3,3,10,9,5,5,6,7,7
58,資工系,112C52137,紫黣淙,qp3BAlZW8H,3,8,7,9,9,1,7,5,5,3
59,電資資安,112C71364,崆需檵,jO65EJ8hh3,7,4,3,8,1,1,2,2,7,7
60,資工系,112C53898,班廿揁,gINx9oDEpN,10,8,5,8,10,8,1,9,9,3
61,電資AI,112590892,琄莩委,nfwTiyaTOi,5,7,9,9,6,8,5,2,6,8
62,電資資安,112590754,馢姫孭,aVUii7r3RF,10,10,7,6,8,8,2,8,8,2
63,電資資安,111C52743,欹瘊稘,EIca3tNrPX,9,3,4,8,2,3,9,5,4,8
64,電資資安,112C52217,鏎嫀孪,sWI4T5FTi7,9,6,2,8,4,7,1,1,1,2
65,創新AI,112C71042,苋諫冎,KzZ1NOUllu,3,7,5,4,10,8,9,1,8,6
66,電資資安,111C71751,嬌娲杩,lYX54WFyIW,9,9,3,5,5,6,8,3,9,7
67,資工所,112C53590,陽蕈珞,LoXYPXSnBg,7,3,9,3,7,1,1,5,7,5
68,資工系,111C71843,芣軛罺,lPetvQ0ZME,7,3,6,7,1,10,9,10,7,8
69,資工所,111590426,虿饠碏,FqpF9mwG6b,7,8,9,6,7,4,6,10,1,10
70,資工系,112590569,櫨軕扊,ccdtaEHOP6,7,3,10,4,6,10,9,5,10,3
71,電資資安,112C71713,鄅畉濾,xJ261Gc8eP,7,3,4,1,7,1,4,3,4,7
72,創新AI,111590374,嗐旈降,Z0w6TFUet2,1,1,6,8,7,6,2,7,1,10
73,創新AI,112590250,崾溆鏃,eATsc1zD9U,9,10,5,2,6,5,10,4,4,3
74,電資AI,111C52798,偬骕崊,oMt3Kvr4M8,4,2,4,3,7,3,10,8,2,1
75,資工所,112C53274,濳濟儋,BUiU98ioXq,1,8,9,10,9,1,7,9,5,6
76,創新AI,112C52368,冏沆蛏,iMv5cRUxrX,9,10,5,7,4,10,3,9,5,8
77,資工系,112C71969,艅鬔别,gxGGuRED5x,8,8,3,5,1,3,1,5,9,2
78,創新AI,111C53119,摘傀帛,KP1G6ew2D6,2,6,6,3,6,6,3,9,9,10
79,電資資安,112C52607,环脋麛,AQzB9yMOER,5,3,6,7,10,5,4,4,2,7
80,電資資安,111C71355,柪客咯,bMxjgqSlwS,6,6,10,6,1,3,10,2,9,3
81,電資資安,112598561,孜枺昌,4533z4t9R0,5,8,7,6,3,9,3,6,9,9
82,資工系,112590621,埩櫍惕,bdZOaaZ3BC,10,10,9,6,10,9,1,9,2,8
83,創新AI,111C71843,霢昮集,0DPxOGm99k,9,7,1,9,9,4,5,9,1,8
84,創新AI,111598801,羅膘郜,9ooQq6RI9q,8,10,3,9,3,3,1,5,3,2
85,電資AI,112C71433,鄂窰觹,IGLEWL6u8D,6,4,9,8,5,7,2,3,1,8
86,創新AI,112C52602,鬠酓縵,rWVsJVVfKK,6,5,9,5,2,10,5,5,6,9
87,電資資安,111C53994,搴糙左,byv55Lp3a5,5,3,5,1,3,4,3,8,7,7
88,資工系,111590708,溴獙癝,pLG5Vz4a1C,10,9,6,1,6,5,3,8,9,2
89,創新AI,112590696,唎曐杕,mVOt8WJ5Uv,8,5,2,2,7,6,5,1,8,4
90,資工所,111590774,騂鰢韧,yG6JU9fn1c,1,8,4,5,9,10,4,10,8,3
91,資工系,111590825,玥冝褺,Oj3T0ip0bP,5,2,3,8,6,7,7,6,7,6
92,創新AI,112590800,煃漡乴,lIfmLYTGmt,4,6,10,10,6,6,8,4,10,9
93,創新AI,112598618,寳峦云,ic3BDyXxQB,1,10,4,4,10,7,8,4,4,10
94,電資AI,111C53037,庚滻鶻,NcrQVkJd5s,10,10,9,10,2,7,2,3,2,3
95,資工系,111C52709,琝睘芩,Q0Rn46E1Jg,8,8,10,2,8,8,1,1,3,6
96,資工系,111590400,噉僬虤,JJxzGmuEQ6,2,1,10,3,3,10,1,5,2,7
97,創新AI,111C52433,搬駷墿,XGGkFyZyKt,5,3,9,10,8,5,3,1,2,4
98,資工系,112590417,棡鏗游,lSWIPlDpct,7,8,2,2,8,4,7,9,2,9
99,創新AI,112C52001,僵噞菊,fdS2k5SPRr,1,5,4,10,8,4,2,6,2,6
100,創新AI,111C53079,逩彦恂,VaCN0oZfpC,8,5,9,4,3,1,7,2,7,2
101,資工系,112C71012,耆凱賒,e37OaoKFTz,9,1,9,7,6,10,2,6,4,1
102,創新AI,111C53209,廪編黋,0rkK8I62KM,9,8,6,10,4,9,3,4,6,9
103,電資AI,112590995,皹骠僓,KW8EFqn7Lc,8,8,6,7,7,3,9,9,2,3
104,創新AI,111C52821,颪佼晐,bsMEwuht0j,2,9,5,10,2,3,9,6,1,2
105,創新AI,111598763,驫褎縕,HC3kQGgMVW,7,4,9,6,5,6,2,4,7,5
106,電資AI,112C53863,櫬淇搭,NwddcABUYi,1,3,1,10,8,8,3,10,10,2
107,創新AI,112598650,颫蒂羕,6lYGPVzpAP,10,1,3,9,6,9,3,4,9,1
108,創新AI,112C71959,笸鶜興,o1Ko01Eulz,10,1,3,3,10,6,8,7,9,7
109,資工所,112598852,弁繙暁,JDi0klXE8V,2,2,8,10,5,2,3,7,10,3
110,資工系,112590569,鄣蟉鄺,u271H6VduX,8,1,9,10,4,7,4,10,2,7
111,資工所,111590201,脐颻仂,gYt34xTUBO,1,9,1,2,2,1,10,9,10,8
112,資工所,111590891,緍饣穅,bFIJcKeXuO,1,4,9,8,9,7,10,3,5,4
113,資工所,112590033,蕮薇疯,HeUemIaFRz,3,6,8,3,9,9,2,5,7,6
114,創新AI,111C53417,鰚崼桹,hV6AmpgBXV,8,8,1,5,5,2,5,8,8,3
115,電資資安,112C52327,遁辠瀩,GE3XSASvoz,9,10,9,10,7,9,7,3,4,8
116,創新AI,111C71300,秵笏驓,gYg44gOWwr,3,8,10,5,1,1,5,10,7,1
117,資工系,111598491,渽浏沋,gNy4zp6yrh,4,5,7,5,3,4,7,10,10,8
118,資工所,112590174,悫鋖钀,mqumsiMQKm,2,1,10,2,3,4,6,9,2,3
119,資工所,111C52192,疡険鰡,VwExkKujEz,1,4,6,8,5,4,10,8,3,2
120,創新AI,112598214,燾濅倮,7KlhL99fqx,9,8,5,1,5,5,6,5,1,8
