序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,電資資安,112C52924,嫋揢雪,ImWYGCi7Dn,6,10,7,6,7,5,5,7,7,9
2,創新AI,111C52971,憦蕟杩,ldPfEI8aEP,9,4,1,4,8,5,5,3,4,6
3,創新AI,112C53720,范撾醞,HBvv4SMi3f,1,5,6,4,2,10,9,2,5,7
4,創新AI,112C53816,锱滧鴨,xPQz7DiAbB,6,8,7,8,10,8,7,4,3,1
5,資工系,111598199,抔稴谚,ySPqAA867s,4,7,2,4,9,5,3,6,2,3
6,資工所,112590488,偳弁灢,Jkgu4GjzWe,5,1,6,1,6,1,5,2,6,10
7,資工系,112590746,畢褃箎,1Yu3Rwg1Cj,3,4,2,1,1,4,2,3,1,9
8,資工系,111590331,駓諉縃,bSUPDQHGAE,6,8,9,7,8,9,10,8,2,2
9,電資AI,111C52066,杲狻褙,2kcgj4Yyza,2,1,5,1,4,7,8,9,9,5
10,創新AI,112C53342,庮堑谜,OngvHvwbeK,3,9,8,1,7,10,7,4,1,4
11,創新AI,112C53199,穓麡砤,p8gND8vozV,1,5,1,3,6,5,4,8,6,10
12,創新AI,112C52496,褁哢浛,WwJsi1oFhF,8,2,8,6,6,1,5,8,2,1
13,創新AI,111C71427,诱豞馋,lPqPgbwlrT,9,9,4,10,10,6,4,1,5,6
14,資工所,111590497,嵁涼籪,CMkihpvTuR,6,3,2,10,7,10,9,2,10,4
15,資工所,112C53783,巗媚廁,Dfz3b9GA2U,1,9,10,8,1,7,8,10,5,10
16,資工系,111590650,鴺铸棑,c8x3bTOYoJ,5,2,10,2,7,7,1,7,5,2
17,創新AI,111C53301,皂蕫胩,LxEaEqkcQH,6,5,4,8,10,7,7,8,1,6
18,資工系,112598346,璼財疨,K1IQzCv2ln,3,5,10,3,9,9,7,3,10,4
19,創新AI,112C71104,徯柝珦,zOPWHwgKgP,4,3,8,3,4,3,3,10,9,7
20,創新AI,111590905,钪赞斁,wp10OcXiyc,1,4,9,7,2,4,2,8,7,6
21,資工所,111C71382,鄜纜鸹,UllSI5HNVF,2,5,1,4,3,10,8,5,3,1
22,電資資安,112C53145,堡訐銂,EKWLY7Solg,10,10,4,4,6,7,1,1,8,1
23,電資資安,111C53587,緅阗通,erinpOvqB9,4,1,10,6,4,3,3,7,2,4
24,創新AI,111C52760,釪鋺奏,3LV5uYlzj1,4,6,1,6,8,10,8,3,9,5
25,資工系,111C53951,啌舰褱,KWBejdGzz2,7,3,2,10,5,6,8,6,3,6
26,資工系,112C71138,轑踭茈,V5g90hZn1b,9,7,1,3,9,9,9,10,7,4
27,創新AI,111598043,赈靳鱺,EoMfzOicWo,10,1,4,1,10,2,1,2,8,5
28,電資資安,111C53471,嵖菬袡,3x7aUog184,8,2,9,9,8,3,9,5,2,9
29,電資AI,111C52067,浉八籾,vsUNHVJLEQ,10,5,9,5,6,1,7,1,7,2
30,資工系,111C71557,谰鹺怹,UtW4CI8LjE,6,3,9,8,8,4,9,1,4,9
31,資工所,111598130,辖肐窂,Ee70Z85GL7,5,10,4,10,4,2,9,7,4,8
32,電資AI,112C53932,釐鴯鴃,XbCfw5iKA9,5,6,1,10,8,1,9,8,8,6
33,創新AI,111C53101,玀耍嗗,aLTok66gZ5,7,6,4,9,5,4,1,9,3,3
34,資工系,111598363,靊鷲碖,MdD1cuqp64,8,4,5,5,5,2,7,9,10,10
35,電資資安,111C53694,賠柋泅,gnj1ZNSU4Q,8,8,7,4,8,6,7,6,3,2
36,電資AI,111C52452,襓靖鉲,KcKJVX0Yeq,2,1,6,10,3,9,6,3,3,4
37,電資資安,112C71653,桼筽栣,lMKklRyxyC,3,7,5,3,9,2,5,8,9,10
38,資工所,111C71121,弼缪徏,Smicc19zjc,6,1,9,9,4,7,9,4,5,3
39,電資AI,112590393,玄楽夭,OoUygahXxc,9,2,5,4,3,7,2,3,3,7
40,電資資安,112C52909,顉坌鰕,klkRmwqZif,7,10,1,1,2,4,5,6,3,7
41,資工所,112590004,朔債閊,ohyEruETmC,3,7,8,3,3,4,9,8,10,5
42,創新AI,111C52476,鴠锎案,i7oxolOd3N,10,2,8,9,2,2,9,5,6,10
43,創新AI,111C71300,眢魪矗,czrXSRWarW,3,5,9,3,1,10,8,9,7,3
44,創新AI,111C52108,萆綱蠙,FkNhxAJ9Ql,10,9,1,3,1,9,3,5,5,8
45,創新AI,112C71505,觰骔犭,fim6oDkcZb,9,4,7,7,9,5,3,4,7,5
46,資工系,112C53918,霬宴煒,mWh04QBwDL,7,2,9,10,8,2,5,4,10,4
47,創新AI,111C53918,營邪枴,yrUSUHORMC,3,5,1,2,10,8,2,1,10,4
48,電資資安,112598586,伋藾蝘,1ZAfEMNa1D,7,7,9,4,4,10,3,7,5,4
49,創新AI,112590562,閼旊獒,N2mXgW64pv,5,3,2,7,7,6,2,5,1,6
50,資工系,111590690,苾嗎諹,kODBffyB4m,4,2,2,2,7,7,6,4,6,10
51,資工系,112598683,瘜垾磇,txkvLw7ni5,10,7,8,4,10,3,7,2,3,6
52,創新AI,111C71293,淏瞐牟,rT0RMpwjYY,8,7,3,3,8,5,7,1,10,4
53,資工系,112C52030,堠蔝鲢,q6ehv7FFVU,10,1,10,7,10,10,3,9,1,3
54,電資AI,111598640,騦茵蟕,W7UR8ZGFis,8,10,1,2,3,1,7,2,5,3
55,電資AI,112C53793,綇鮨覣,6rqbHcDKdX,4,10,3,10,8,8,6,8,3,3
56,創新AI,112C71966,嶎穕尕,6l1uXpz8CK,4,6,2,10,5,3,6,3,10,5
57,創新AI,111590636,峎魉塃,rCK5vJCKUh,10,9,7,10,10,9,9,7,10,10
58,資工所,111590447,样宝尌,Ep1j77Smm3,3,9,5,6,4,2,7,1,5,5
59,資工所,112590155,瓨枵痌,xpzeeOziMl,6,1,2,6,3,6,1,10,2,6
60,資工所,112C71822,寑沩蒔,mXZTvUCaTX,4,4,2,6,3,10,6,8,4,6
61,電資AI,112598386,驊葑蔛,4nRojncHZ5,7,2,8,6,4,9,2,9,7,10
62,電資資安,111590025,皬彾胆,ZEVN29Bn6e,6,4,10,2,6,3,3,9,3,5
63,資工系,112C71760,鐊忟褛,lNnjZ3KY73,8,7,7,5,1,3,4,5,5,7
64,資工系,111C71764,枡锝婮,LZPbrUesu0,4,10,1,7,9,1,5,5,2,1
65,電資資安,111C53124,觞髥耟,ypePxBdZtj,3,4,8,7,2,9,7,10,4,9
66,電資資安,112C53975,吜元湻,Bs0w0PUECr,1,8,2,7,9,4,6,10,9,10
67,創新AI,111590950,貖蟎悾,LQbVL80Pqz,5,7,9,8,6,10,8,4,8,8
68,資工系,111C53574,縲曮庞,UaUeYa6Vum,2,1,9,3,7,4,8,6,10,5
69,資工系,111C71514,楌腜嘾,5QKaML4sYh,5,1,8,2,8,7,7,4,5,7
70,電資資安,111590041,爣娸瑞,Agn2lAJfCf,3,5,2,4,8,2,3,10,4,9
71,資工系,112C53036,竉夗柏,caGqB2nvLk,4,1,7,2,2,2,7,7,3,10
72,創新AI,112C52328,鐤酭鼼,cHozq0iNeA,2,4,3,2,10,3,2,6,10,5
73,電資AI,111C53955,筶鎧坣,wR6QCTb6Tp,6,10,8,6,8,1,2,3,8,3
74,資工所,112590642,旺鍘蜾,NaJrTHIpTH,9,9,4,2,6,10,6,6,4,4
75,電資AI,112590454,蒗嘅伾,ExMYzX4NeZ,4,5,4,5,5,7,7,3,8,10
76,資工系,112590082,諕嫰鐏,caisrosp2k,7,1,9,3,6,6,3,8,4,2
77,資工所,112598222,馿谫擺,AHhsEDXMS8,9,1,1,7,8,1,2,4,1,1
78,電資AI,112590933,俏峿夅,FUjfMWBNSM,4,1,10,9,10,2,2,5,10,1
79,資工系,112C71576,燥鬨襓,R4DMTtlsZk,10,3,5,2,8,2,3,5,7,1
80,資工系,112590377,殦琐漩,jr60bet4cp,9,9,6,5,1,8,3,2,4,10
81,資工系,112598525,鵦笪俖,tR5m21LGUG,9,10,1,5,8,7,3,4,4,1
82,電資資安,112598541,蠳扮鸯,bA6dZrXl2q,5,6,1,1,5,3,8,3,3,5
83,電資AI,112C71652,劙鶻逎,uHhpCUBuks,5,7,6,4,5,9,2,1,8,7
84,電資資安,112590784,扎凸趃,DVrpqYxwVl,2,8,9,1,5,5,3,4,9,8
85,電資AI,112C52288,翋窽擆,P9Qim8Ro2K,8,4,2,3,1,6,6,10,4,5
86,資工所,111590710,惃毗圊,wP1AerjQDE,2,9,8,4,5,1,9,4,7,8
87,創新AI,111598724,軦悄圢,jJrwtaJw3i,3,5,8,9,5,2,6,2,3,8
