序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
1,資工系,111C71745,朠橰頳,HHz0RzU3B4,5,1,7,3,3,5,10,2,5,6
2,電資AI,111C53542,劫环鍩,N1VcruqxqT,9,6,3,5,1,5,1,6,8,10
3,創新AI,112C71682,爈役蓢,5EvT3vUQpb,7,2,9,6,2,2,3,2,7,1
4,電資資安,111590722,衳濛抃,uK9Ou6UQz4,6,5,4,3,10,3,2,8,1,8
5,創新AI,112C52954,蔨谈骾,coEVv8FG7r,8,5,1,9,7,7,7,6,4,8
6,創新AI,111C71791,僮梠潣,ChgBvv0pOM,9,4,9,6,4,9,10,10,5,8
7,電資資安,111598143,崁彞塧,Rl7prHv1Tk,2,9,8,2,8,4,8,1,8,3
8,電資AI,112C52892,鼒裛蠧,PBWsgwlUMu,10,6,4,1,7,2,6,8,6,10
9,資工所,111C71376,踵騅愀,isUaL5L2xx,10,4,6,8,3,4,1,5,8,9
10,創新AI,111C52981,叠禆沠,NkTkHht8V9,2,10,9,10,9,8,1,1,6,10
11,資工所,112590721,寢餵咮,F3FvNztH0y,8,6,1,3,7,8,3,3,9,9
12,電資AI,111598245,葾蹇橖,l3jRGKuVRL,9,2,2,9,6,8,7,10,10,7
13,資工系,112598790,陊良櫔,WW42397dwg,6,2,2,5,9,6,10,7,8,3
14,創新AI,111598635,侇伹卛,PDZTctGLqZ,10,9,1,1,1,4,7,9,8,6
15,電資資安,112C52295,妦臒猨,KuTF7ri7Bx,2,6,10,10,8,3,3,5,8,3
16,電資AI,111598363,嬋琥鬁,MaX6fLPewA,7,7,6,5,1,8,7,10,5,7
17,創新AI,111C71684,尺珉阮,lcs963mB40,4,5,3,9,9,2,5,5,2,8
18,資工系,112598043,庞贏傁,T09Kq6bS4s,1,4,7,4,9,1,10,2,3,5
19,電資AI,111598884,縪摟湭,AjUdxYtBOe,6,2,10,1,1,7,2,10,4,8
20,資工所,111C53943,挠鸻檊,SrBsgfiDfT,6,10,1,8,9,8,1,9,7,1
21,資工所,111C53320,侸疠牦,YEcTxLU2Vo,8,3,3,9,9,8,9,3,4,2
22,資工系,112C52269,滴翄犬,y95kyzrVLM,1,9,8,10,3,7,4,7,5,4
23,創新AI,111C53160,快蚵厪,uVqDlBGzit,5,8,4,1,2,9,8,3,6,7
24,資工所,111C53428,媐咱滻,BPSNb8cVnS,2,5,6,7,6,7,9,3,6,10
25,電資AI,112590314,呒敵楤,wRuNiaAWr9,4,2,6,4,6,10,1,8,8,9
26,電資資安,111598848,沋螦蚜,noAQGRAb5Y,3,3,5,1,10,3,3,9,5,7
27,電資AI,112C71542,派薵朥,kwLgnbaTVe,5,8,2,5,3,10,3,6,9,3
28,電資AI,111C52681,乬袏睾,gM5fyp9qoZ,6,6,1,5,4,10,4,10,10,7
29,電資資安,111598731,薜傶隿,excjDSB3ik,3,6,8,1,6,3,6,9,5,9
30,創新AI,112590403,掱廈綘,yX5C0Y7FF8,3,4,2,4,3,9,8,7,4,10
31,資工所,111C53293,濆錾肻,cjAZ0H23fk,1,2,9,1,1,2,4,9,1,10
32,資工系,111598394,莳俽覎,1JWC2DusPs,10,9,4,8,1,9,7,3,1,6
33,創新AI,111598956,哱嫽亹,k6kDxhJDms,3,5,10,4,2,8,5,1,6,5
34,創新AI,111C53592,牸炬疲,2awkcOTCpu,2,6,1,9,8,5,5,2,7,10
35,電資AI,111C53518,扞溡鶤,liur0HoAzT,2,10,6,6,8,5,10,1,5,10
36,電資資安,112C52372,錕緅殱,xUwIAwZbB8,7,3,6,7,9,1,7,7,6,2
37,資工系,111590137,魝鲰騺,U2fZdP4wtA,5,4,5,10,9,2,3,5,4,1
38,資工系,111C52024,歞莕氄,9OhqvmXaFV,7,6,1,3,2,10,6,9,4,6
